From	Entry	Database	Gene Names	Gene Ontology (biological process)	Gene Ontology (molecular function)
evm.utg1285.96	A0A6P8J4X4	trembl	LOC116308432		serine-type endopeptidase inhibitor activity [GO:0004867]
evm.utg1290.4	Q95R48	swissprot	Orct2 CG13610	organic cation transport [GO:0015695]; positive regulation of cell growth [GO:0030307]; positive regulation of multicellular organism growth [GO:0040018]	transmembrane transporter activity [GO:0022857]
evm.utg1290.4.1.5c22ea0c	Q95R48	swissprot	Orct2 CG13610	organic cation transport [GO:0015695]; positive regulation of cell growth [GO:0030307]; positive regulation of multicellular organism growth [GO:0040018]	transmembrane transporter activity [GO:0022857]
evm.utg1290.6	Q95R48	swissprot	Orct2 CG13610	organic cation transport [GO:0015695]; positive regulation of cell growth [GO:0030307]; positive regulation of multicellular organism growth [GO:0040018]	transmembrane transporter activity [GO:0022857]
evm.utg1290.8	Q95R48	swissprot	Orct2 CG13610	organic cation transport [GO:0015695]; positive regulation of cell growth [GO:0030307]; positive regulation of multicellular organism growth [GO:0040018]	transmembrane transporter activity [GO:0022857]
evm.utg1290.8.1.5c22ea08	Q95R48	swissprot	Orct2 CG13610	organic cation transport [GO:0015695]; positive regulation of cell growth [GO:0030307]; positive regulation of multicellular organism growth [GO:0040018]	transmembrane transporter activity [GO:0022857]
evm.utg1290.8.2.5c22ea09	Q95R48	swissprot	Orct2 CG13610	organic cation transport [GO:0015695]; positive regulation of cell growth [GO:0030307]; positive regulation of multicellular organism growth [GO:0040018]	transmembrane transporter activity [GO:0022857]
evm.utg1290.8.2.5c22ea09.1.5c278fb6	Q9VCA2	swissprot	Orct CG6331	apoptotic process [GO:0006915]	transmembrane transporter activity [GO:0022857]
evm.utg1290.8.2.5c22ea09.2.5c278fb6	A0A913X094	trembl			transmembrane transporter activity [GO:0022857]
evm.utg1290.9	Q6Q0C0	swissprot	TRAF7 RFWD1 RNF119	apoptotic process [GO:0006915]; positive regulation of apoptotic signaling pathway [GO:2001235]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of protein metabolic process [GO:0051247]; positive regulation of ubiquitin-dependent protein catabolic process [GO:2000060]; protein K29-linked ubiquitination [GO:0035519]; protein ubiquitination [GO:0016567]; regulation of ERK1 and ERK2 cascade [GO:0070372]	protein binding [GO:0005515]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]
evm.utg1290.9.1.5c22ea0d	Q6Q0C0	swissprot	TRAF7 RFWD1 RNF119	apoptotic process [GO:0006915]; positive regulation of apoptotic signaling pathway [GO:2001235]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of protein metabolic process [GO:0051247]; positive regulation of ubiquitin-dependent protein catabolic process [GO:2000060]; protein K29-linked ubiquitination [GO:0035519]; protein ubiquitination [GO:0016567]; regulation of ERK1 and ERK2 cascade [GO:0070372]	protein binding [GO:0005515]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]
evm.utg1290.10	P68827	swissprot	NAGPA	secretion of lysosomal enzymes [GO:0033299]	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase activity [GO:0003944]
evm.utg1290.11	Q9NSK7	swissprot	C19orf12	apoptotic process [GO:0006915]; mitochondrial calcium ion homeostasis [GO:0051560]; response to oxidative stress [GO:0006979]	
evm.utg1290.13	Q5BIM1	swissprot	TRIM45		ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]
evm.utg1290.16	Q86VV8	swissprot	RTTN	centriole-centriole cohesion [GO:0010457]; centriole replication [GO:0007099]; ciliary basal body organization [GO:0032053]	protein binding [GO:0005515]
evm.utg1290.17	P20788	swissprot	Uqcrfs1	mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]; mitochondrial respiratory chain complex III assembly [GO:0034551]; proton transmembrane transport [GO:1902600]; respiratory electron transport chain [GO:0022904]; response to hormone [GO:0009725]; response to xenobiotic stimulus [GO:0009410]	2 iron, 2 sulfur cluster binding [GO:0051537]; protein-containing complex binding [GO:0044877]; quinol-cytochrome-c reductase activity [GO:0008121]
evm.utg1290.20	Q9BQI3	swissprot	EIF2AK1 HRI KIAA1369 PRO1362	HRI-mediated signaling [GO:0140468]; integrated stress response signaling [GO:0140467]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of hemoglobin biosynthetic process [GO:0046986]; negative regulation of translational initiation by iron [GO:0045993]; positive regulation of mitophagy [GO:1901526]; protein localization to mitochondrion [GO:0070585]; regulation of translational initiation [GO:0006446]; regulation of translation [GO:0006417]; response to iron ion starvation [GO:1990641]; response to stress [GO:0006950]	ATP binding [GO:0005524]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; heme binding [GO:0020037]; protein binding [GO:0005515]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
evm.utg1290.20.1.5c22ea0d	Q9BQI3	swissprot	EIF2AK1 HRI KIAA1369 PRO1362	HRI-mediated signaling [GO:0140468]; integrated stress response signaling [GO:0140467]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of hemoglobin biosynthetic process [GO:0046986]; negative regulation of translational initiation by iron [GO:0045993]; positive regulation of mitophagy [GO:1901526]; protein localization to mitochondrion [GO:0070585]; regulation of translational initiation [GO:0006446]; regulation of translation [GO:0006417]; response to iron ion starvation [GO:1990641]; response to stress [GO:0006950]	ATP binding [GO:0005524]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; heme binding [GO:0020037]; protein binding [GO:0005515]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
evm.utg1290.22	Q6H601	swissprot	Os09g0383400 LOC_Os09g21520 P0505H05.40		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; mRNA binding [GO:0003729]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]
evm.utg1290.22.1.5c22ea09	Q6H601	swissprot	Os09g0383400 LOC_Os09g21520 P0505H05.40		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; mRNA binding [GO:0003729]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]
evm.utg1290.23	Q96BZ8	swissprot	LENG1		protein binding [GO:0005515]
evm.utg1290.24	Q8Q0U0	swissprot	MM_0045	RNA processing [GO:0006396]	RNA nuclease activity [GO:0004540]
evm.utg1290.25	Q9GKW8	swissprot	ANKDD1A QccE-18247	signal transduction [GO:0007165]	
evm.utg1290.27	P62314	swissprot	SNRPD1	7-methylguanosine cap hypermethylation [GO:0036261]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; RNA processing [GO:0006396]; RNA splicing [GO:0008380]; spliceosomal complex assembly [GO:0000245]; spliceosomal snRNP assembly [GO:0000387]; spliceosomal tri-snRNP complex assembly [GO:0000244]; spliceosome conformational change to release U4 (or U4atac) and U1 (or U11) [GO:0000388]; U2-type prespliceosome assembly [GO:1903241]	protein binding [GO:0005515]; U1 snRNP binding [GO:1990446]
evm.utg1290.28	Q8C5T8	swissprot	Cfap263 Ccdc113	cilium assembly [GO:0060271]	
evm.utg1290.28.1.5c22ea0a	Q8C5T8	swissprot	Cfap263 Ccdc113	cilium assembly [GO:0060271]	
evm.utg1290.28.2.5c22ea0a	Q8C5T8	swissprot	Cfap263 Ccdc113	cilium assembly [GO:0060271]	
evm.utg1290.29	Q96CG8	swissprot	CTHRC1 UNQ762/PRO1550	cyclooxygenase pathway [GO:0019371]	extracellular matrix structural constituent [GO:0005201]; frizzled binding [GO:0005109]; prostaglandin-endoperoxide synthase activity [GO:0004666]; Wnt-protein binding [GO:0017147]
evm.utg1290.29.1.5c22ea0d	A0AAU9XIA5	trembl	PMEA_00024289		extracellular matrix structural constituent conferring tensile strength [GO:0030020]
evm.utg1290.31	P16444	swissprot	DPEP1 MDP RDP	antibiotic metabolic process [GO:0016999]; cellular response to calcium ion [GO:0071277]; cellular response to nitric oxide [GO:0071732]; glutathione catabolic process [GO:0006751]; glutathione metabolic process [GO:0006749]; homocysteine metabolic process [GO:0050667]; lactam catabolic process [GO:0072340]; leukotriene D4 catabolic process [GO:1901749]; leukotriene metabolic process [GO:0006691]; negative regulation of cell migration [GO:0030336]; neutrophil chemotaxis [GO:0030593]; proteolysis [GO:0006508]	beta-lactamase activity [GO:0008800]; dipeptidase activity [GO:0016805]; GPI anchor binding [GO:0034235]; metallodipeptidase activity [GO:0070573]; metalloexopeptidase activity [GO:0008235]; modified amino acid binding [GO:0072341]; protein binding [GO:0005515]; zinc ion binding [GO:0008270]
evm.utg1290.32	P31429	swissprot	DPEP1	antibiotic metabolic process [GO:0016999]; cellular response to calcium ion [GO:0071277]; cellular response to nitric oxide [GO:0071732]; glutathione catabolic process [GO:0006751]; homocysteine metabolic process [GO:0050667]; leukotriene D4 catabolic process [GO:1901749]; leukotriene metabolic process [GO:0006691]; negative regulation of cell migration [GO:0030336]; neutrophil chemotaxis [GO:0030593]; proteolysis [GO:0006508]	beta-lactamase activity [GO:0008800]; dipeptidase activity [GO:0016805]; GPI anchor binding [GO:0034235]; metallodipeptidase activity [GO:0070573]; modified amino acid binding [GO:0072341]; zinc ion binding [GO:0008270]
evm.utg1290.32.1.5c22ea0a	P31429	swissprot	DPEP1	antibiotic metabolic process [GO:0016999]; cellular response to calcium ion [GO:0071277]; cellular response to nitric oxide [GO:0071732]; glutathione catabolic process [GO:0006751]; homocysteine metabolic process [GO:0050667]; leukotriene D4 catabolic process [GO:1901749]; leukotriene metabolic process [GO:0006691]; negative regulation of cell migration [GO:0030336]; neutrophil chemotaxis [GO:0030593]; proteolysis [GO:0006508]	beta-lactamase activity [GO:0008800]; dipeptidase activity [GO:0016805]; GPI anchor binding [GO:0034235]; metallodipeptidase activity [GO:0070573]; modified amino acid binding [GO:0072341]; zinc ion binding [GO:0008270]
evm.utg1290.32.2.5c22ea0a	C5FK77	swissprot	MCYG_02918	proteolysis [GO:0006508]	dipeptidase activity [GO:0016805]; metallodipeptidase activity [GO:0070573]
evm.utg1290.32.3.5c22ea0b	A0ABN8PY82	trembl	PEVE_00001066	proteolysis [GO:0006508]	dipeptidase activity [GO:0016805]; metal ion binding [GO:0046872]; metallodipeptidase activity [GO:0070573]
evm.utg1290.32.3.5c22ea0b.1.5c278fb8	A0A913X2E9	trembl		proteolysis [GO:0006508]	dipeptidase activity [GO:0016805]; metal ion binding [GO:0046872]; metallodipeptidase activity [GO:0070573]
evm.utg1290.33	A0A913WTQ6	trembl		regulation of apoptotic process [GO:0042981]	
evm.utg1290.34	Q5ZIW2	swissprot	CNOT10 RCJMB04_23c21	mRNA catabolic process [GO:0006402]; negative regulation of translation [GO:0017148]	
evm.utg1290.35	Q9Z111	swissprot	Gadd45g Cr6	positive regulation of apoptotic process [GO:0043065]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of JNK cascade [GO:0046330]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of p38MAPK cascade [GO:1900745]; regulation of cell cycle [GO:0051726]; T-helper 1 cell differentiation [GO:0045063]	identical protein binding [GO:0042802]; protein binding [GO:0005515]
evm.utg1290.38	P11183	swissprot	GCSH	glycine decarboxylation via glycine cleavage system [GO:0019464]; protein lipoylation [GO:0009249]	
evm.utg1290.38.1.5c22ea0e	P11183	swissprot	GCSH	glycine decarboxylation via glycine cleavage system [GO:0019464]; protein lipoylation [GO:0009249]	
evm.utg1290.40	Q6L4S0	swissprot	DBB1 Os05g0592400 LOC_Os05g51480 OsJ_19757 P0663C08.8		damaged DNA binding [GO:0003684]; nucleic acid binding [GO:0003676]; protein binding [GO:0005515]
evm.utg1290.41	P23978	swissprot	Slc6a1 Gabt1 Gat-1 Gat1	amino acid transmembrane transport [GO:0003333]; amino acid transport [GO:0006865]; associative learning [GO:0008306]; chloride transmembrane transport [GO:1902476]; gamma-aminobutyric acid import [GO:0051939]; inorganic anion import across plasma membrane [GO:0098658]; learning [GO:0007612]; memory [GO:0007613]; negative regulation of synaptic transmission, GABAergic [GO:0032229]; neurotransmitter reuptake [GO:0098810]; neurotransmitter transport [GO:0006836]; positive regulation of gamma-aminobutyric acid secretion [GO:0014054]; response to calcium ion [GO:0051592]; response to cocaine [GO:0042220]; response to estradiol [GO:0032355]; response to lead ion [GO:0010288]; response to methamphetamine hydrochloride [GO:1904313]; response to purine-containing compound [GO:0014074]; response to sucrose [GO:0009744]; response to toxic substance [GO:0009636]; response to xenobiotic stimulus [GO:0009410]; sodium ion import across plasma membrane [GO:0098719]; sodium ion transmembrane transport [GO:0035725]; synapse organization [GO:0050808]	amino acid:sodium symporter activity [GO:0005283]; gamma-aminobutyric acid:sodium:chloride symporter activity [GO:0005332]; gamma-aminobutyric acid transmembrane transporter activity [GO:0015185]; identical protein binding [GO:0042802]; protein binding [GO:0005515]; sodium:chloride symporter activity [GO:0015378]
evm.utg1290.41.1.5c22ea0b	P23978	swissprot	Slc6a1 Gabt1 Gat-1 Gat1	amino acid transmembrane transport [GO:0003333]; amino acid transport [GO:0006865]; associative learning [GO:0008306]; chloride transmembrane transport [GO:1902476]; gamma-aminobutyric acid import [GO:0051939]; inorganic anion import across plasma membrane [GO:0098658]; learning [GO:0007612]; memory [GO:0007613]; negative regulation of synaptic transmission, GABAergic [GO:0032229]; neurotransmitter reuptake [GO:0098810]; neurotransmitter transport [GO:0006836]; positive regulation of gamma-aminobutyric acid secretion [GO:0014054]; response to calcium ion [GO:0051592]; response to cocaine [GO:0042220]; response to estradiol [GO:0032355]; response to lead ion [GO:0010288]; response to methamphetamine hydrochloride [GO:1904313]; response to purine-containing compound [GO:0014074]; response to sucrose [GO:0009744]; response to toxic substance [GO:0009636]; response to xenobiotic stimulus [GO:0009410]; sodium ion import across plasma membrane [GO:0098719]; sodium ion transmembrane transport [GO:0035725]; synapse organization [GO:0050808]	amino acid:sodium symporter activity [GO:0005283]; gamma-aminobutyric acid:sodium:chloride symporter activity [GO:0005332]; gamma-aminobutyric acid transmembrane transporter activity [GO:0015185]; identical protein binding [GO:0042802]; protein binding [GO:0005515]; sodium:chloride symporter activity [GO:0015378]
evm.utg1290.42	Q9NX74	swissprot	DUS2 DUS2L	antiviral innate immune response [GO:0140374]; tRNA dihydrouridine synthesis [GO:0002943]; tRNA processing [GO:0008033]	double-stranded RNA binding [GO:0003725]; flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; NADPH binding [GO:0070402]; protein binding [GO:0005515]; protein kinase inhibitor activity [GO:0004860]; tRNA binding [GO:0000049]; tRNA-dihydrouridine20 synthase activity [GO:0102264]; tRNA dihydrouridine synthase activity [GO:0017150]
evm.utg1290.43	A0A2B4SYT1	trembl	mat2b AWC38_SpisGene746	S-adenosylmethionine biosynthetic process [GO:0006556]	methionine adenosyltransferase regulator activity [GO:0048270]
evm.utg1290.45	Q3UMM4	swissprot	Cdk10	G2/M transition of mitotic cell cycle [GO:0000086]; negative regulation of cilium assembly [GO:1902018]; positive regulation of MAPK cascade [GO:0043410]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of cell cycle G2/M phase transition [GO:1902749]; regulation of mitotic cell cycle [GO:0007346]	ATP binding [GO:0005524]; cyclin-dependent protein kinase activity [GO:0097472]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; protein binding [GO:0005515]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
utg1290.equina_smart_1834585.mrna4	A0A7D9L2Q6	trembl	PACLA_8A028767		sequence-specific DNA binding [GO:0043565]
utg1290.equina_smart_1772782.mrna2	A0A7D9IVK2	trembl	PACLA_8A037646	protein retention in Golgi apparatus [GO:0045053]; protein targeting to vacuole [GO:0006623]	
evm.utg1290.46	A0A6P8IF69	trembl	LOC116300605	proteolysis [GO:0006508]	metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]
evm.utg1290.47	E7FAM5	swissprot	trim71 lin41	fibroblast growth factor receptor signaling pathway [GO:0008543]; G1/S transition of mitotic cell cycle [GO:0000082]; miRNA-mediated gene silencing by inhibition of translation [GO:0035278]; negative regulation of translation [GO:0017148]; nervous system development [GO:0007399]; neural tube development [GO:0021915]; post-transcriptional regulation of gene expression [GO:0010608]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein autoubiquitination [GO:0051865]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; regulation of neural precursor cell proliferation [GO:2000177]; stem cell proliferation [GO:0072089]	miRNA binding [GO:0035198]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]
evm.utg1290.48	Q8R3F5	swissprot	Mcat Mt	fatty acid biosynthetic process [GO:0006633]; mitochondrial small ribosomal subunit assembly [GO:0180026]; monocarboxylic acid metabolic process [GO:0032787]; RNA folding [GO:0034337]	[acyl-carrier-protein] S-malonyltransferase activity [GO:0004314]; RNA folding chaperone [GO:0140691]
evm.utg1290.49.1.5c22ea0b	A0A6P8IF64	trembl	LOC116300602	early endosome to late endosome transport [GO:0045022]; neuron projection morphogenesis [GO:0048812]	guanyl-nucleotide exchange factor activity [GO:0005085]; SNARE binding [GO:0000149]
evm.utg1290.49	A0A6P8IF64	trembl	LOC116300602	early endosome to late endosome transport [GO:0045022]; neuron projection morphogenesis [GO:0048812]	guanyl-nucleotide exchange factor activity [GO:0005085]; SNARE binding [GO:0000149]
evm.utg1290.52	Q6NYI0	swissprot	herpud2 zgc:56020 zgc:76968	endoplasmic reticulum unfolded protein response [GO:0030968]	
evm.utg1290.52.1.5c22ea0c	Q5R5B0	swissprot	HERPUD1	endoplasmic reticulum calcium ion homeostasis [GO:0032469]; endoplasmic reticulum unfolded protein response [GO:0030968]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; positive regulation of ERAD pathway [GO:1904294]; regulation of ERAD pathway [GO:1904292]; ubiquitin-dependent protein catabolic process [GO:0006511]	transmembrane transporter binding [GO:0044325]
evm.utg1290.58	A0ABN8N1P4	trembl	PLOB_00048213	proteolysis [GO:0006508]	cysteine-type peptidase activity [GO:0008234]
evm.utg1302.4	P0DPK4	swissprot	NOTCH2NLC	cerebral cortex development [GO:0021987]; positive regulation of Notch signaling pathway [GO:0045747]	calcium ion binding [GO:0005509]; protein binding [GO:0005515]
evm.utg1302.5	P0DPK3	swissprot	NOTCH2NLB	cerebral cortex development [GO:0021987]; positive regulation of Notch signaling pathway [GO:0045747]	calcium ion binding [GO:0005509]; Notch binding [GO:0005112]; protein binding [GO:0005515]
evm.utg1302.6	A0AAU9VV32	trembl	PMEA_00021831	DNA integration [GO:0015074]	
evm.utg1302.9	O42574	swissprot	adrb1	adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; adrenergic receptor signaling pathway [GO:0071875]; G protein-coupled receptor signaling pathway [GO:0007186]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of heart contraction [GO:0045823]; positive regulation of MAPK cascade [GO:0043410]	adrenergic receptor activity [GO:0004935]; beta1-adrenergic receptor activity [GO:0004940]; G protein-coupled receptor activity [GO:0004930]
evm.utg1302.10	A0A6P8HCY2	trembl	LOC116287988	adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; G protein-coupled receptor signaling pathway [GO:0007186]; hormone-mediated signaling pathway [GO:0009755]	G protein-coupled peptide receptor activity [GO:0008528]; G protein-coupled receptor activity [GO:0004930]
evm.utg1302.12	A1L453	swissprot	PRSS38 MPN2	proteolysis [GO:0006508]	serine-type endopeptidase activity [GO:0004252]
evm.utg1302.15	Q6UWX4	swissprot	HHIPL2 HHIP3 KIAA1822L UNQ841/PRO1779		protein binding [GO:0005515]
evm.utg1302.16	Q9GT50	swissprot	mth	cell surface receptor signaling pathway [GO:0007166]; determination of adult lifespan [GO:0008340]; G protein-coupled receptor signaling pathway [GO:0007186]; response to starvation [GO:0042594]	G protein-coupled peptide receptor activity [GO:0008528]; G protein-coupled receptor activity [GO:0004930]; transmembrane signaling receptor activity [GO:0004888]
evm.utg1302.18	A0A9W9YXU8	trembl	OS493_024878	cell surface receptor signaling pathway [GO:0007166]; G protein-coupled receptor signaling pathway [GO:0007186]	G protein-coupled receptor activity [GO:0004930]; transmembrane signaling receptor activity [GO:0004888]
evm.utg1302.19	A0A6P8IGM5	trembl	LOC116301107		zinc ion binding [GO:0008270]
evm.utg1302.26	A0A6P8IH48	trembl	LOC116301106	protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]	metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]
evm.utg1302.28	A0A6P8HDZ4	trembl	LOC116290387	protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]	metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]
evm.utg1302.30	A0A0C2NDQ5	trembl	RF11_00628		acid phosphatase activity [GO:0003993]
evm.utg1302.32	P81274	swissprot	GPSM2 LGN	asymmetric cell division [GO:0008356]; establishment of mitotic spindle orientation [GO:0000132]; G protein-coupled receptor signaling pathway [GO:0007186]; maintenance of centrosome location [GO:0051661]; mitotic spindle organization [GO:0007052]; positive regulation of protein localization to cell cortex [GO:1904778]; positive regulation of spindle assembly [GO:1905832]; regulation of mitotic spindle organization [GO:0060236]	dynein complex binding [GO:0070840]; GDP-dissociation inhibitor activity [GO:0005092]; G-protein alpha-subunit binding [GO:0001965]; GTPase regulator activity [GO:0030695]; identical protein binding [GO:0042802]; protein binding [GO:0005515]; protein domain specific binding [GO:0019904]
evm.utg1302.33	A0A6G3MMV9	trembl		intracellular zinc ion homeostasis [GO:0006882]; metal ion transport [GO:0030001]; zinc ion transmembrane transport [GO:0071577]	metal ion transmembrane transporter activity [GO:0046873]; zinc ion transmembrane transporter activity [GO:0005385]
evm.utg1319.4.2.5c22ea29	A0A6P8IGU8	trembl	LOC116301089	intracellular iron ion homeostasis [GO:0006879]	
evm.utg1319.4.1.5c22ea29	A0A6P8IGU8	trembl	LOC116301089	intracellular iron ion homeostasis [GO:0006879]	
evm.utg1319.4.2.5c22ea29.1.5c278fc8	A0ABN8RQD7	trembl	PEVE_00013724	intracellular iron ion homeostasis [GO:0006879]	
evm.utg1319.4	A0A6P8IGU8	trembl	LOC116301089	intracellular iron ion homeostasis [GO:0006879]	
evm.utg1319.5	Q28997	swissprot	ADRB2	adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; adenylate cyclase-inhibiting adrenergic receptor signaling pathway [GO:0071881]; blood vessel diameter maintenance [GO:0097746]; G protein-coupled receptor signaling pathway [GO:0007186]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; negative regulation of G protein-coupled receptor signaling pathway [GO:0045744]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of autophagosome maturation [GO:1901098]; positive regulation of cardiac muscle cell apoptotic process [GO:0010666]; positive regulation of cardiac muscle cell contraction [GO:0106134]; positive regulation of lipophagy [GO:1904504]; positive regulation of MAPK cascade [GO:0043410]; receptor-mediated endocytosis [GO:0006898]; regulation of smooth muscle contraction [GO:0006940]	adrenergic receptor activity [GO:0004935]; beta2-adrenergic receptor activity [GO:0004941]; beta-adrenergic receptor activity [GO:0004939]; G protein-coupled receptor activity [GO:0004930]; norepinephrine binding [GO:0051380]
evm.utg1319.7	P51475	swissprot		absorption of visible light [GO:0016038]; cellular response to light stimulus [GO:0071482]; detection of visible light [GO:0009584]; G protein-coupled receptor signaling pathway [GO:0007186]; light absorption [GO:0016037]; phototransduction [GO:0007602]; visual perception [GO:0007601]	G protein-coupled photoreceptor activity [GO:0008020]; G protein-coupled receptor activity [GO:0004930]
evm.utg1330.2	A7RZJ4	trembl	NEMVEDRAFT_v1g183768	chromatin remodeling [GO:0006338]	histone H3K36 methyltransferase activity [GO:0046975]; histone H3 methyltransferase activity [GO:0140938]; histone methyltransferase activity [GO:0042054]; protein-lysine N-methyltransferase activity [GO:0016279]
evm.utg1330.3	Q69ZN7	swissprot	Myof Fer1l3 Kiaa1207	cellular response to heat [GO:0034605]; glycerol metabolic process [GO:0006071]; membrane fusion [GO:0061025]; muscle cell development [GO:0055001]; plasma membrane repair [GO:0001778]; regulation of vascular endothelial growth factor receptor signaling pathway [GO:0030947]; T-tubule organization [GO:0033292]	phospholipid binding [GO:0005543]
evm.utg1330.3.1.5c22ea35	Q9NZM1	swissprot	MYOF FER1L3 KIAA1207	blood circulation [GO:0008015]; muscle contraction [GO:0006936]; plasma membrane repair [GO:0001778]; regulation of neurotransmitter secretion [GO:0046928]	calcium ion binding [GO:0005509]; phospholipid binding [GO:0005543]; protein binding [GO:0005515]
evm.utg1330.4.2.5c22ea36	P43249	swissprot	GRK5 GPRK5	negative regulation of apoptotic process [GO:0043066]; regulation of signal transduction [GO:0009966]; signal transduction [GO:0007165]	ATP binding [GO:0005524]; G protein-coupled receptor kinase activity [GO:0004703]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]
evm.utg1330.4.1.5c22ea36	P43249	swissprot	GRK5 GPRK5	negative regulation of apoptotic process [GO:0043066]; regulation of signal transduction [GO:0009966]; signal transduction [GO:0007165]	ATP binding [GO:0005524]; G protein-coupled receptor kinase activity [GO:0004703]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]
evm.utg1330.4	P43249	swissprot	GRK5 GPRK5	negative regulation of apoptotic process [GO:0043066]; regulation of signal transduction [GO:0009966]; signal transduction [GO:0007165]	ATP binding [GO:0005524]; G protein-coupled receptor kinase activity [GO:0004703]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]
evm.utg1330.5	A0A7M5X0W0	trembl		cell surface receptor protein serine/threonine kinase signaling pathway [GO:0007178]	transmembrane receptor protein serine/threonine kinase activity [GO:0004675]
evm.utg1330.8	Q5R7K9	swissprot	EDIL3		calcium ion binding [GO:0005509]; signaling receptor activity [GO:0038023]
evm.utg1330.10	A0ABN8RAP7	trembl	PLOB_00016926		calcium ion binding [GO:0005509]
evm.utg1330.11	Q9NZM6	swissprot	PKD2L2 TRPP5	calcium ion transmembrane transport [GO:0070588]; detection of mechanical stimulus [GO:0050982]	calcium channel activity [GO:0005262]; calcium ion binding [GO:0005509]
evm.utg1330.12	P70490	swissprot	Mfge8 Ags	apoptotic cell clearance [GO:0043277]; phagocytosis, engulfment [GO:0006911]; phagocytosis, recognition [GO:0006910]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of phagocytosis [GO:0050766]; response to estrogen [GO:0043627]	integrin binding [GO:0005178]; phosphatidylethanolamine binding [GO:0008429]; phosphatidylserine binding [GO:0001786]
evm.utg1330.13	P79385	swissprot	MFGE8		phosphatidylserine binding [GO:0001786]
